,Month,Gasoline,LWV Sales,Miles Driven,Gasoline Price,Stocks
0,01-2012,8072.75,14.058,2658725.1,3.44,222080.5
1,01-2013,8315.5,15.474,2673413.1,3.391,227502.4
2,01-2014,8278.0,15.249,2686747.5,3.392,229627.75
3,01-2015,8799.8,16.474,2729466.9,2.208,236944.75
4,01-2016,8604.0,17.61,2791397.7,2.057,243787.83333333334
5,01-2017,8222.0,17.27,2859595.2,2.458,240870.0
6,01-2018,8805.75,17.072,2893033.8,2.671,241711.33333333334
7,01-2019,8933.0,16.744,2920064.4,2.338,248566.2
8,01-2020,8615.8,16.874,2946321.9,2.636,259704.5
9,01-2021,7737.6,16.779,2586423.6,2.42,242240.4
10,01-2022,8215.25,15.049,2913485.4,3.413,240095.0
11,02-2012,8299.25,14.617,2662984.8,3.64,223340.5
12,02-2013,8463.25,15.516,2671259.4,3.736,227482.0
13,02-2014,8325.25,15.617,2685078.9,3.434,226545.75
14,02-2015,8659.0,16.461,2732410.8,2.301,236857.8
15,02-2016,9255.5,17.64,2796609.6,1.872,242196.75
16,02-2017,8680.75,17.446,2861964.9,2.416,250890.66666666666
17,02-2018,9007.75,17.16,2894937.3,2.705,245135.0
18,02-2019,8875.5,16.674,2923693.2,2.393,248986.66666666666
19,02-2020,8965.25,16.881,2956135.5,2.533,248565.0
20,02-2021,7904.75,15.932,2559732.3,2.587,242663.25
21,02-2022,8774.0,13.977,2933982.0,3.611,235766.0
22,03-2012,8509.8,14.237,2665722.6,3.907,222007.0
23,03-2013,8447.4,15.412,2668433.4,3.779,219951.5
24,03-2014,8794.0,16.606,2685437.1,3.606,218349.6
25,03-2015,8957.25,17.459,2736544.5,2.546,229162.2
26,03-2016,9404.0,16.826,2803026.6,2.071,242421.0
27,03-2017,9298.2,16.604,2864841.3,2.437,239563.33333333334
28,03-2018,9330.6,17.079,2897063.1,2.709,238750.75
29,03-2019,9173.2,17.132,2925199.8,2.594,235777.25
30,03-2020,8660.25,11.247,2914968.6,2.329,247916.83333333334
31,03-2021,8668.75,17.641,2598241.5,2.898,225531.5
32,03-2022,8760.5,13.413,2941026.3,4.322,231685.0
33,04-2012,8661.0,14.408,2665557.0,3.958,210631.0
34,04-2013,8506.25,15.451,2670836.4,3.638,221687.5
35,04-2014,8683.75,16.28,2689641.9,3.735,211584.25
36,04-2015,8907.25,17.249,2742017.4,2.555,221347.25
37,04-2016,9423.6,17.247,2809179.0,2.216,238826.2
38,04-2017,9215.0,16.798,2867731.2,2.528,237762.0
39,04-2018,9325.75,17.211,2899099.8,2.873,236639.0
40,04-2019,9465.75,16.427,2923657.2,2.881,232348.5
41,04-2020,5329.25,8.614,2819752.2,1.938,248140.75
42,04-2021,8914.0,18.297,2680656.3,2.948,236723.25
43,04-2022,8752.2,14.514,2944674.9,4.213,236951.4
44,05-2012,8849.75,14.135,2671578.9,3.791,198866.33333333334
45,05-2013,8670.8,15.537,2673205.2,3.675,220405.6
