,Month,Jet Fuel,Net Production,Stocks,Revenue,Spot Price
0,01-2012,1342.25,41216,41852.0,615414,3.0872
1,01-2013,1354.25,40598,39922.25,614477,3.091095238095238
2,01-2014,1453.4,43198,37257.8,602506,2.9209047619047617
3,01-2015,1506.4,45585,37394.8,619217,1.4955500000000002
4,01-2016,1575.2,46936,41445.0,632006,0.9281052631578948
5,01-2017,1640.75,47985,43206.5,648706,1.5112999999999999
6,01-2018,1667.75,49992,41239.0,666749,1.9543333333333333
7,01-2019,1652.25,52763,41019.5,689566,1.7930476190476192
8,01-2020,1643.2,55663,41646.8,714162,1.7695714285714286
9,01-2021,1092.4,34805,39713.0,453083,1.420421052631579
10,01-2022,1465.75,45385,35843.25,618880,2.446
11,02-2012,1350.5,37608,42444.0,589505,3.20715
12,02-2013,1346.25,36637,39287.75,562615,3.217684210526316
13,02-2014,1310.0,38385,37797.5,549777,2.9648947368421052
14,02-2015,1479.0,40890,39271.5,555446,1.7662105263157895
15,02-2016,1569.25,44339,41887.25,600888,0.9715999999999999
16,02-2017,1496.0,43418,43144.5,587575,1.5469473684210526
17,02-2018,1636.0,45109,43032.25,612172,1.8504736842105263
18,02-2019,1677.25,45248,42476.25,624214,1.9091578947368422
19,02-2020,1551.0,46040,42969.0,662107,1.5092631578947369
20,02-2021,1175.75,25436,40733.5,400902,1.6008947368421054
21,02-2022,1464.0,40943,38022.0,574955,2.681578947368421
22,03-2012,1372.0,40032,40801.2,669640,3.2557727272727273
23,03-2013,1349.2,43033,38861.8,660936,2.9692
24,03-2014,1448.5,41225,36355.5,664913,2.890428571428571
25,03-2015,1533.75,44868,37604.0,666996,1.6285454545454547
26,03-2016,1504.25,46692,43718.25,687910,1.069090909090909
27,03-2017,1678.4,49652,42415.0,695998,1.4455217391304347
28,03-2018,1777.4,53019,41297.4,717335,1.853047619047619
29,03-2019,1797.8,51590,41370.4,744934,1.9016666666666668
30,03-2020,1525.0,39636,40234.0,615978,0.9533181818181817
31,03-2021,1064.25,32502,39044.5,539233,1.661086956521739
32,04-2012,1372.0,39042,39441.5,641873,3.22585
33,04-2013,1393.25,42803,40143.75,640002,2.807681818181818
34,04-2014,1419.75,42182,37887.25,639387,2.8879047619047618
35,04-2015,1589.25,45767,36825.5,652640,1.7022380952380953
36,04-2016,1622.2,45707,43933.6,663705,1.1474761904761905
37,04-2017,1658.5,50033,43164.25,673873,1.5064210526315789
38,04-2018,1686.5,51829,39536.75,703738,2.0154761904761904
39,04-2019,1714.75,49822,41853.75,718276,1.976904761904762
40,04-2020,657.5,16183,39896.75,229863,0.6060476190476191
41,04-2021,1212.8,35967,38130.6,544709,1.6693809523809524
42,05-2012,1401.0,41611,38707.25,660431,2.973954545454546
43,05-2013,1481.8,41558,39164.0,661037,2.7249545454545454
44,05-2014,1443.2,43351,39048.0,659424,2.867857142857143
45,05-2015,1569.4,48017,37529.4,671709,1.8495000000000001
46,05-2016,1611.5,47379,42887.25,687480,1.2955238095238095
47,05-2017,1707.5,50732,43661.5,701514,1.4102727272727273
48,05-2018,1716.5,53765,40693.5,735311,2.155772727272727
49,05-2019,1775.6,50748,39576.2,750336,1.9730909090909092
50,05-2020,549.2,13746,40389.2,227107,0.6858500000000001
51,05-2021,1327.0,38336,41647.5,588903,1.7523
52,06-2012,1546.6,44587,38937.8,676325,2.678095238095238
53,06-2013,1488.5,42760,40196.25,674742,2.76865
54,06-2014,1582.75,43495,38241.25,678351,2.883142857142857
55,06-2015,1580.0,46756,40251.75,689364,1.7324090909090908
56,06-2016,1693.75,47505,41999.0,710635,1.382090909090909
57,06-2017,1805.0,50450,42648.6,727629,1.2950454545454546
58,06-2018,1752.0,54049,41669.4,753241,2.0894761904761903
59,06-2019,1807.5,53629,39713.75,763015,1.8168499999999999
60,06-2020,723.5,19532,40848.75,281375,0.9829545454545454
61,06-2021,1327.25,39475,44693.0,635311,1.8570454545454544
